ep_time,tp,Position,ep,sl,outcome
2022-09-29 17:05:00,1345.34,1,1335.34,1325.34,LOSS
2022-09-30 05:00:00,1338.49,1,1328.49,1318.49,WIN
2022-09-30 14:30:00,1350.56,1,1340.56,1330.56,WIN
2022-10-02 06:10:00,1324.99,0,1314.99,1304.99,LOSS
2022-10-02 20:05:00,1316.67,1,1306.67,1296.67,LOSS
2022-10-03 10:50:00,1305.99,1,1295.99,1285.99,WIN
2022-10-05 06:45:00,1367.02,0,1357.02,1347.02,LOSS
2022-10-05 17:20:00,1368.36,1,1358.36,1348.36,LOSS
2022-10-06 12:00:00,1378.75,1,1368.75,1358.75,LOSS
2022-10-07 11:00:00,1366.58,0,1356.58,1346.58,LOSS
2022-10-09 10:00:00,1327.19,1,1317.19,1307.19,WIN
2022-10-10 00:40:00,1332.68,1,1322.68,1312.68,WIN
2022-10-10 04:40:00,1332.16,0,1322.16,1312.16,LOSS
2022-10-11 12:20:00,1301.15,1,1291.15,1281.15,LOSS
2022-10-11 14:45:00,1295.1,1,1285.1,1275.1,WIN
2022-10-12 04:00:00,1293.71,1,1283.71,1273.71,WIN
2022-10-12 18:15:00,1308.42,0,1298.42,1288.42,LOSS
2022-10-13 17:35:00,1289.63,1,1279.63,1269.63,WIN
2022-10-16 19:20:00,1295.23,1,1285.23,1275.23,WIN
2022-10-20 06:55:00,1301.41,1,1291.41,1281.41,WIN
2022-10-21 07:25:00,1299.94,0,1289.94,1279.94,LOSS
2022-10-21 15:55:00,1298.11,1,1288.11,1278.11,WIN
2022-10-22 07:50:00,1309.15,1,1299.15,1289.15,WIN
2022-10-23 03:15:00,1323.05,0,1313.05,1303.05,LOSS
2022-10-23 15:00:00,1321.16,1,1311.16,1301.16,WIN
2022-10-24 10:55:00,1356.79,0,1346.79,1336.79,LOSS
2022-10-24 19:25:00,1357.63,0,1347.63,1337.63,LOSS
2022-10-25 11:40:00,1359.01,1,1349.01,1339.01,WIN
2022-10-27 05:10:00,1573.07,0,1563.07,1553.07,LOSS
2022-10-27 13:10:00,1584.89,1,1574.89,1564.89,LOSS
2022-10-27 18:55:00,1567.54,1,1557.54,1547.54,LOSS
2022-10-28 13:20:00,1542.41,1,1532.41,1522.41,WIN
2022-10-30 06:10:00,1635.15,1,1625.15,1615.15,WIN
2022-10-31 05:25:00,1601.62,0,1591.62,1581.62,LOSS
2022-10-31 09:40:00,1600.48,1,1590.48,1580.48,WIN
2022-11-01 02:40:00,1598.44,1,1588.44,1578.44,WIN
2022-11-02 01:00:00,1597.55,1,1587.55,1577.55,WIN
2022-11-02 18:10:00,1605.17,1,1595.17,1585.17,WIN
2022-11-03 03:25:00,1565.24,1,1555.24,1545.24,LOSS
2022-11-03 14:40:00,1560.2,1,1550.2,1540.2,LOSS
2022-11-03 19:25:00,1555.63,0,1545.63,1535.63,LOSS
2022-11-04 02:50:00,1549.06,1,1539.06,1529.06,WIN
2022-11-06 09:05:00,1640.72,1,1630.72,1620.72,LOSS
2022-11-06 14:55:00,1635.69,1,1625.69,1615.69,LOSS
2022-11-07 15:35:00,1590.99,1,1580.99,1570.99,WIN
2022-11-08 16:35:00,1582.69,1,1572.69,1562.69,LOSS
2022-11-10 04:45:00,1176.24,1,1166.24,1156.24,WIN
2022-11-11 11:30:00,1291.71,0,1281.71,1271.71,LOSS
2022-11-11 13:00:00,1300.9,1,1290.9,1280.9,WIN
2022-11-11 18:05:00,1294.52,1,1284.52,1274.52,LOSS
2022-11-11 22:30:00,1287.62,1,1277.62,1267.62,WIN
2022-11-12 14:45:00,1280.13,1,1270.13,1260.13,WIN
2022-11-13 03:00:00,1278.19,0,1268.19,1258.19,LOSS
2022-11-14 07:25:00,1245.45,1,1235.45,1225.45,WIN
2022-11-15 01:40:00,1258.42,1,1248.42,1238.42,WIN
2022-11-16 02:30:00,1272.71,0,1262.71,1252.71,LOSS
2022-11-17 00:45:00,1229.0,1,1219.0,1209.0,LOSS
2022-11-17 06:25:00,1224.79,0,1214.79,1204.79,LOSS
2022-11-17 16:55:00,1216.86,1,1206.86,1196.86,WIN
2022-11-19 15:05:00,1218.86,1,1208.86,1198.86,WIN
2022-11-21 13:45:00,1146.16,1,1136.16,1126.16,LOSS
2022-11-22 13:20:00,1122.08,1,1112.08,1102.08,WIN
2022-11-23 19:10:00,1187.29,1,1177.29,1167.29,LOSS
2022-11-24 22:45:00,1211.64,0,1201.64,1191.64,LOSS
2022-11-25 11:50:00,1203.31,1,1193.31,1183.31,LOSS
2022-11-25 14:50:00,1197.52,1,1187.52,1177.52,WIN
2022-11-27 22:05:00,1226.4,0,1216.4,1206.4,LOSS
2022-11-28 19:55:00,1182.69,0,1172.69,1162.69,LOSS
2022-11-29 01:50:00,1188.2,1,1178.2,1168.2,WIN
2022-11-30 18:35:00,1282.35,1,1272.35,1262.35,WIN
2022-12-01 13:30:00,1296.57,0,1286.57,1276.57,LOSS
2022-12-02 01:00:00,1292.59,1,1282.59,1272.59,LOSS
2022-12-02 08:05:00,1285.26,1,1275.26,1265.26,WIN
