date_time,Position,ep,tp,sl,outcome
2022-09-29 17:05:00,Long,1335.34,1345.34,1325.34,LOSS
2022-09-30 05:00:00,Long,1328.49,1338.49,1318.49,WIN
2022-09-30 05:00:00,Short,1328.49,1319.03,1339.03,LOSS
2022-09-30 14:30:00,Long,1340.56,1350.56,1330.56,WIN
2022-09-30 14:30:00,Short,1340.56,1320.06,1340.06,WIN
2022-10-02 06:10:00,Short,1314.99,1301.22,1321.22,WIN
2022-10-02 20:05:00,Long,1306.67,1316.67,1296.67,LOSS
2022-10-02 20:05:00,Short,1306.67,1285.91,1305.91,WIN
2022-10-03 10:50:00,Long,1295.99,1305.99,1285.99,WIN
2022-10-05 06:45:00,Short,1357.02,1343.68,1363.68,WIN
2022-10-05 17:20:00,Long,1358.36,1368.36,1348.36,LOSS
2022-10-06 12:00:00,Long,1368.75,1378.75,1358.75,LOSS
2022-10-06 12:00:00,Short,1368.75,1342.32,1362.32,LOSS
2022-10-07 11:00:00,Short,1356.58,1345.92,1365.92,WIN
2022-10-09 10:00:00,Long,1317.19,1327.19,1307.19,WIN
2022-10-10 00:40:00,Long,1322.68,1332.68,1312.68,WIN
2022-10-10 04:40:00,Short,1322.16,1314.51,1334.51,WIN
2022-10-11 12:20:00,Long,1291.15,1301.15,1281.15,LOSS
2022-10-11 14:45:00,Long,1285.1,1295.1,1275.1,WIN
2022-10-12 04:00:00,Long,1283.71,1293.71,1273.71,WIN
2022-10-12 18:15:00,Short,1298.42,1284.52,1304.52,WIN
2022-10-13 17:35:00,Long,1279.63,1289.63,1269.63,WIN
2022-10-13 17:35:00,Short,1279.63,1298.65,1318.65,WIN
2022-10-16 19:20:00,Long,1285.23,1295.23,1275.23,WIN
2022-10-16 19:20:00,Short,1285.23,1312.77,1332.77,WIN
2022-10-20 06:55:00,Long,1291.41,1301.41,1281.41,WIN
2022-10-21 07:25:00,Short,1289.94,1274.6,1294.6,WIN
2022-10-21 15:55:00,Long,1288.11,1298.11,1278.11,WIN
2022-10-22 07:50:00,Long,1299.15,1309.15,1289.15,WIN
2022-10-23 15:00:00,Long,1311.16,1321.16,1301.16,WIN
2022-10-23 15:00:00,Short,1311.16,1324.06,1344.06,LOSS
2022-10-24 10:55:00,Short,1346.79,1336.77,1356.77,WIN
2022-10-25 11:40:00,Long,1349.01,1359.01,1339.01,WIN
2022-10-25 11:40:00,Short,1349.01,1540.79,1560.79,LOSS
2022-10-27 05:10:00,Short,1563.07,1546.75,1566.75,WIN
2022-10-27 13:10:00,Long,1574.89,1584.89,1564.89,LOSS
2022-10-27 13:10:00,Short,1574.89,1532.85,1552.85,LOSS
2022-10-27 18:55:00,Long,1557.54,1567.54,1547.54,LOSS
2022-10-27 18:55:00,Short,1557.54,1521.93,1541.93,WIN
2022-10-28 13:20:00,Long,1532.41,1542.41,1522.41,WIN
2022-10-28 13:20:00,Short,1532.41,1605.62,1625.62,WIN
2022-10-30 06:10:00,Long,1625.15,1635.15,1615.15,WIN
2022-10-30 06:10:00,Short,1625.15,1606.76,1626.76,WIN
2022-10-31 09:40:00,Long,1590.48,1600.48,1580.48,WIN
2022-10-31 09:40:00,Short,1590.48,1554.5,1574.5,LOSS
2022-11-01 02:40:00,Long,1588.44,1598.44,1578.44,WIN
2022-11-01 02:40:00,Short,1588.44,1560.44,1580.44,LOSS
2022-11-02 01:00:00,Long,1587.55,1597.55,1577.55,WIN
2022-11-02 01:00:00,Short,1587.55,1552.33,1572.33,LOSS
2022-11-02 18:10:00,Long,1595.17,1605.17,1585.17,WIN
2022-11-02 18:10:00,Short,1595.17,1528.79,1548.79,WIN
2022-11-03 03:25:00,Long,1555.24,1565.24,1545.24,LOSS
2022-11-03 03:25:00,Short,1555.24,1523.28,1543.28,LOSS
2022-11-03 14:40:00,Long,1550.2,1560.2,1540.2,LOSS
2022-11-03 19:25:00,Short,1545.63,1533.04,1553.04,WIN
2022-11-04 02:50:00,Long,1539.06,1549.06,1529.06,WIN
2022-11-04 02:50:00,Short,1539.06,1632.12,1652.12,WIN
2022-11-06 09:05:00,Long,1630.72,1640.72,1620.72,LOSS
2022-11-06 09:05:00,Short,1630.72,1602.6,1622.6,LOSS
2022-11-06 14:55:00,Long,1625.69,1635.69,1615.69,LOSS
2022-11-06 14:55:00,Short,1625.69,1609.21,1629.21,WIN
2022-11-07 15:35:00,Long,1580.99,1590.99,1570.99,WIN
2022-11-07 15:35:00,Short,1580.99,1555.89,1575.89,WIN
2022-11-08 16:35:00,Long,1572.69,1582.69,1562.69,LOSS
2022-11-08 16:35:00,Short,1572.69,1431.09,1451.09,WIN
2022-11-10 04:45:00,Long,1166.24,1176.24,1156.24,WIN
2022-11-10 04:45:00,Short,1166.24,1238.19,1258.19,WIN
2022-11-11 11:30:00,Short,1281.71,1275.6,1295.6,WIN
2022-11-11 13:00:00,Long,1290.9,1300.9,1280.9,WIN
2022-11-11 13:00:00,Short,1290.9,1219.67,1239.67,WIN
2022-11-11 18:05:00,Long,1284.52,1294.52,1274.52,LOSS
2022-11-11 18:05:00,Short,1284.52,1251.63,1271.63,WIN
2022-11-11 22:30:00,Long,1277.62,1287.62,1267.62,WIN
2022-11-11 22:30:00,Short,1277.62,1249.12,1269.12,WIN
2022-11-12 14:45:00,Long,1270.13,1280.13,1260.13,WIN
2022-11-12 14:45:00,Short,1270.13,1246.21,1266.21,LOSS
2022-11-13 03:00:00,Short,1268.19,1254.18,1274.18,WIN
2022-11-14 07:25:00,Long,1235.45,1245.45,1225.45,WIN
2022-11-14 07:25:00,Short,1235.45,1221.77,1241.77,WIN
2022-11-15 01:40:00,Long,1248.42,1258.42,1238.42,WIN
2022-11-15 01:40:00,Short,1248.42,1242.09,1262.09,WIN
2022-11-16 02:30:00,Short,1262.71,1248.45,1268.45,WIN
2022-11-17 00:45:00,Long,1219.0,1229.0,1209.0,LOSS
2022-11-17 00:45:00,Short,1219.0,1199.02,1219.02,WIN
2022-11-17 06:25:00,Short,1214.79,1198.53,1218.53,WIN
2022-11-17 16:55:00,Long,1206.86,1216.86,1196.86,WIN
2022-11-17 16:55:00,Short,1206.86,1200.84,1220.84,WIN
2022-11-19 15:05:00,Long,1208.86,1218.86,1198.86,WIN
2022-11-19 15:05:00,Short,1208.86,1198.57,1218.57,WIN
2022-11-21 13:45:00,Long,1136.16,1146.16,1126.16,LOSS
2022-11-21 13:45:00,Short,1136.16,1105.48,1125.48,WIN
2022-11-22 13:20:00,Long,1112.08,1122.08,1102.08,WIN
2022-11-22 13:20:00,Short,1112.08,1148.0,1168.0,LOSS
2022-11-23 19:10:00,Long,1177.29,1187.29,1167.29,LOSS
2022-11-23 19:10:00,Short,1177.29,1181.63,1201.63,LOSS
2022-11-24 22:45:00,Short,1201.64,1183.27,1203.27,WIN
2022-11-25 11:50:00,Long,1193.31,1203.31,1183.31,LOSS
2022-11-25 14:50:00,Long,1187.52,1197.52,1177.52,WIN
2022-11-27 22:05:00,Short,1216.4,1206.24,1226.24,WIN
2022-11-29 01:50:00,Long,1178.2,1188.2,1168.2,WIN
2022-11-30 18:35:00,Long,1272.35,1282.35,1262.35,WIN
2022-12-01 13:30:00,Short,1286.57,1275.05,1295.05,WIN
2022-12-02 01:00:00,Long,1282.59,1292.59,1272.59,LOSS
2022-12-02 08:05:00,Long,1275.26,1285.26,1265.26,WIN
2022-12-03 04:15:00,Short,1286.55,1274.06,1294.06,WIN
2022-12-04 15:00:00,Long,1259.55,1269.55,1249.55,WIN
2022-12-04 15:00:00,Short,1259.55,1277.84,1297.84,WIN
2022-12-06 08:55:00,Short,1262.12,1251.01,1271.01,WIN
2022-12-06 23:10:00,Long,1257.55,1267.55,1247.55,WIN
2022-12-06 23:10:00,Short,1257.55,1244.05,1264.05,WIN
2022-12-08 07:35:00,Long,1234.6,1244.6,1224.6,WIN
2022-12-08 07:35:00,Short,1234.6,1261.36,1281.36,WIN
2022-12-10 10:25:00,Long,1266.31,1276.31,1256.31,WIN
2022-12-11 16:35:00,Long,1271.99,1281.99,1261.99,WIN
2022-12-11 16:35:00,Short,1271.99,1256.85,1276.85,WIN
2022-12-12 16:05:00,Long,1250.2,1260.2,1240.2,WIN
2022-12-14 07:00:00,Long,1322.04,1332.04,1312.04,WIN
2022-12-14 07:00:00,Short,1322.04,1305.59,1325.59,WIN
2022-12-16 07:00:00,Long,1271.14,1281.14,1261.14,LOSS
2022-12-16 07:00:00,Short,1271.14,1238.43,1258.43,WIN
2022-12-17 22:50:00,Long,1183.16,1193.16,1173.16,WIN
2022-12-17 22:50:00,Short,1183.16,1164.02,1184.02,LOSS
2022-12-19 15:15:00,Short,1185.97,1173.75,1193.75,WIN
2022-12-20 01:55:00,Long,1185.01,1195.01,1175.01,WIN
2022-12-22 08:00:00,Short,1213.86,1199.71,1219.71,WIN
2022-12-22 20:55:00,Long,1216.26,1226.26,1206.26,WIN
2022-12-24 11:15:00,Short,1219.13,1209.58,1229.58,WIN
2022-12-26 23:05:00,Long,1217.2,1227.2,1207.2,WIN
2022-12-26 23:05:00,Short,1217.2,1208.66,1228.66,WIN
2022-12-28 15:05:00,Long,1207.09,1217.09,1197.09,LOSS
2022-12-28 18:45:00,Short,1197.28,1184.55,1204.55,WIN
2022-12-29 04:25:00,Long,1195.13,1205.13,1185.13,WIN
2023-01-02 04:10:00,Long,1200.77,1210.77,1190.77,WIN
2023-01-03 23:35:00,Long,1214.37,1224.37,1204.37,WIN
2023-01-05 19:35:00,Short,1252.46,1239.63,1259.63,WIN
2023-01-06 15:15:00,Long,1251.16,1261.16,1241.16,WIN
2023-01-08 13:45:00,Long,1263.19,1273.19,1253.19,WIN
